Subject Area,Presentation Table,Presentation Column,Expression - Presentation Column,Description - Presentation Column,Business Model,Derived logical table,Derived logical column,Description - Derived Logical Column,Expression,Logical Table,Logical Column,Description - Logical Column,Logical Table Source,Expression,Initialization Block,Variable,Database,Physical Catalog,Physical Schema,Physical Table,Alias,Physical Column,Description - Physical Column
OFSAA,FSI_D_BORROWINGS,Interest Rate NII,,,OFSAA,Fsi D Borrowings,Interest Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Interest Rate NII,,,OFSAA,Fsi D Borrowings,Interest Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Cur Net Rate
OFSAA,FSI_D_BORROWINGS,Interest Rate NII,,,OFSAA,Fsi D Borrowings,Interest Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Transfer Credit NII,,,OFSAA,Fsi D Borrowings,Transfer Credit NII,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Charge Credit Trate
OFSAA,FSI_D_BORROWINGS,Transfer Credit NII,,,OFSAA,Fsi D Borrowings,Transfer Credit NII,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Transfer Rate NII,,,OFSAA,Fsi D Borrowings,Transfer Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Transfer Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Transfer Rate
OFSAA,FSI_D_BORROWINGS,Transfer Rate NII,,,OFSAA,Fsi D Borrowings,Transfer Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Transfer Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Transfer Rate NII,,,OFSAA,Fsi D Borrowings,Transfer Rate NII,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Transfer Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE, 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Net Interest Income NII,,,OFSAA,Fsi D Borrowings,Net Interest Income NII,," SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE) -  SUM( IFNULL(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Net Interest Income NII,,,OFSAA,Fsi D Borrowings,Net Interest Income NII,," SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE) -  SUM( IFNULL(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",Fsi D Borrowings,Cur Net Rate
OFSAA,FSI_D_BORROWINGS,Net Interest Income NII,,,OFSAA,Fsi D Borrowings,Net Interest Income NII,," SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE) -  SUM( IFNULL(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",Fsi D Borrowings,Charge Credit Trate
OFSAA,FSI_D_BORROWINGS,Net Interest Income NII,,,OFSAA,Fsi D Borrowings,Net Interest Income NII,," SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE) -  SUM( IFNULL(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,NII Rate,,,OFSAA,Fsi D Borrowings,NII Rate,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Matched Spread C"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE * -(1), 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,NII Rate,,,OFSAA,Fsi D Borrowings,NII Rate,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Matched Spread C"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE * -(1), 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,NII Rate,,,OFSAA,Fsi D Borrowings,NII Rate,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Matched Spread C"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE * -(1), 0)) /  SUM(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Matched Spread C
OFSAA,FSI_D_BORROWINGS,ChargeCreditTrate,,,OFSAA,,,,,Fsi D Borrowings,Charge Credit Trate,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.CHARGE_CREDIT_TRATE,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,CHARGE_CREDIT_TRATE,
OFSAA,FSI_D_BORROWINGS,FTP Income_PFT,,,OFSAA,Fsi D Borrowings,FTP Income_PFT,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",Fsi D Borrowings,Charge Credit Trate
OFSAA,FSI_D_BORROWINGS,FTP Income_PFT,,,OFSAA,Fsi D Borrowings,FTP Income_PFT,," ROUND( SUM(OFSAA.""Fsi D Borrowings"".""Charge Credit Trate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Interest Paid_PFT,,,OFSAA,Fsi D Borrowings,Interest Paid_PFT,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365), 2)",Fsi D Borrowings,Cur Net Rate
OFSAA,FSI_D_BORROWINGS,Interest Paid_PFT,,,OFSAA,Fsi D Borrowings,Interest Paid_PFT,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365), 2)",Fsi D Borrowings,Avg Book Bal
OFSAA,FSI_D_BORROWINGS,Interest Paid_PFT,,,OFSAA,Fsi D Borrowings,Interest Paid_PFT,," ROUND( SUM( NULLIF(OFSAA.""Fsi D Borrowings"".""Avg Book Bal"" * OFSAA.""Fsi D Borrowings"".""Cur Net Rate"" * OFSAA.FTP_CTM_REPORT_EXCHANGE_RATES.EXCHANGE_RATE / 100, 0) * 31 / 365), 2)",FTP_CTM_REPORT_EXCHANGE_RATES,EXCHANGE_RATE
OFSAA,FSI_D_BORROWINGS,Org Unit ID,,,OFSAA,,,,,Fsi D Borrowings,Org Unit ID,,FSI_D_BORROWINGS,OFSAA."".OFSEPM.FSI_D_BORROWINGS.ORG_UNIT_ID,,,OFSAA,,OFSEPM,FSI_D_BORROWINGS,,ORG_UNIT_ID,
OFSAA,FSI_D_CASA,Above Compensation Limit Flag,,,OFSAA,,,,,Fsi D Casa,Above Compensation Limit Flag,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ABOVE_COMPENSATION_LIMIT_FLAG,,,OFSAA,,OFSEPM,FSI_D_CASA,,ABOVE_COMPENSATION_LIMIT_FLAG,
OFSAA,FSI_D_CASA,Account Age C,,,OFSAA,,,,,Fsi D Casa,Account Age C,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_AGE_C,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_AGE_C,
OFSAA,FSI_D_CASA,Account Age Mult C,,,OFSAA,,,,,Fsi D Casa,Account Age Mult C,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_AGE_MULT_C,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_AGE_MULT_C,
OFSAA,FSI_D_CASA,Account Close Date,,,OFSAA,,,,,Fsi D Casa,Account Close Date,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_CLOSE_DATE,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_CLOSE_DATE,
OFSAA,FSI_D_CASA,Account Contrib,,,OFSAA,,,,,Fsi D Casa,Account Contrib,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_CONTRIB,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_CONTRIB,
OFSAA,FSI_D_CASA,Account Contrib After Tax,,,OFSAA,,,,,Fsi D Casa,Account Contrib After Tax,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_CONTRIB_AFTER_TAX,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_CONTRIB_AFTER_TAX,
OFSAA,FSI_D_CASA,Account Group Cd,,,OFSAA,,,,,Fsi D Casa,Account Group Cd,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_GROUP_CD,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_GROUP_CD,
OFSAA,FSI_D_CASA,Account Number,,,OFSAA,,,,,Fsi D Casa,Account Number,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_NUMBER,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_NUMBER,
OFSAA,FSI_D_CASA,Account Officer Cd,,,OFSAA,,,,,Fsi D Casa,Account Officer Cd,,FSI_D_CASA,OFSAA."".OFSEPM.FSI_D_CASA.ACCOUNT_OFFICER_CD,,,OFSAA,,OFSEPM,FSI_D_CASA,,ACCOUNT_OFFICER_CD,
